urbanarea_id,airports
3922,SUM
3923,MYR
9074,PEG
3921,AHN
11829,"JAD,PER"
3927,BHM
9070,SPU
7606,GUT
11825,MEL
11824,"RSE,SWZ,SYD,ZDN"
1761,SIA
10290,MRU
4026,GIF
11540,EDL
4023,"CLW,PIE,SPG,TPA"
4789,MHT
4788,BTV
4787,YRO
3711,PBL
10511,SYZ
4783,YUL
4782,YHU
4029,VRB
5417,CRD
7306,KBP
3713,CUM
8091,"GVA,QNJ"
11859,JMU
7514,ARN
3850,HKY
3998,VPS
3997,HRT
3996,"NDP,PNS"
3858,PGV
964,CBB
4308,"AZP,MEX"
1202,DSN
2916,"CGK,HLP"
2917,"QPG,SIN,XSP"
2853,IXW
4968,BPS
3689,"CAS,CMN"
9477,ERD
5461,PIU
3331,YYT
6355,SGC
4814,SMD
5464,CIX
5469,PCL
4934,APQ
4078,MLB
6723,JHE
4730,"CMH,OSU"
10195,MPM
10963,RRK
10961,RAJ
2319,MMY
4366,LGV
6655,VVK
4739,"HFY,IND,UMP"
6653,GSE
6806,GWT
4833,EAU
290,AZN
6636,THN
2492,UBP
3776,SOM
8235,RJK
3774,"BOG,LAT"
4320,BIQ
3779,HTW
196,"ALA,BXJ"
4326,SDR
4655,SBN
3141,PVR
4656,EKI
3144,ZMM
3673,ABJ
6388,RTW
2543,CCR
2541,"HWD,JCE,NGZ,NUQ,OAK,PAO,SFO,SJC,SQL"
4784,YCV
2545,JSG
3026,LAM
11687,DRW
2548,SCK
11003,TIF
11680,THR
3020,VIS
7889,LIL
11440,EBD
11762,GOS
7880,"CGN,DUS,LGG,MGL"
7882,"BQH,HEN,LHR,RCS,XET"
2266,OKA
7884,EIN
7886,"ANR,BRU"
4909,IMP
4217,LFT
4216,CWF
4211,CXO
2447,VTE
9258,BVE
5004,PLU
5388,CPG
8049,CDF
10338,TLE
4193,HLR
6768,MMX
9049,"VIC,VRN"
9847,LOS
7862,RNS
8129,TRS
8695,ESB
3954,WRB
7905,PME
