urbanarea_id,name,source
4783,YUL,ne
11829,PER,ne
3927,BHM,ne
11825,MEL,ne
11824,SYD,ne
10290,MRU,ne
4023,TPA,ne
4789,MHT,ne
4788,BTV,ne
10511,SYZ,ne
7306,KBP,ne
8091,GVA-QNJ,ne
11859,JMU,ne
7514,ARN,ne
4308,MEX,ne
2916,CGK,ne
2917,SIN,ne
2853,IXW,ne
3689,CAS-CMN,ne
3331,YYT,ne
6355,SGC,ne
4730,CMH,ne
10195,MPM,ne
10961,RAJ,ne
4739,IND,ne
3774,BOG,ne
196,ALA-BXJ,ne
3673,ABJ,ne
6388,RTW,ne
2541,OAK-SFO-SJC,ne
11687,DRW,ne
11680,THR,ne
7889,LIL,ne
7880,CGN-DUS,ne
7882,LHR,ne
7886,ANR-BRU,ne
2447,VTE,ne
9847,LOS,ne
8695,ESB,ne
7868,NCL,ne
4813,BDL,ne
4812,BOS-PVD,ne
4810,GYY-MDW-ORD,ne
4815,EWR,ne
7701,LTN,ne
4819,CVG,ne
4818,JFK-LGA,ne
7615,HRK,ne
4955,CGB,ne
2616,DVO,ne
2614,ZAM,ne
9737,BUD,ne
9738,ZRH,ne
11346,MGQ,ne
10029,BJM,ne
2731,HGH,ne
851,SDA,ne
9938,LFW,ne
7556,BRE,ne
7555,HAM,ne
2683,CAN-SZX,ne
2738,HIW,ne
6618,NYO,ne
4075,CLT,ne
4074,ORF,ne
4077,MCO,ne
4076,JAX,ne
4070,TGU,ne
3967,SAV,ne
8836,TUN,ne
11351,DEL,ne
3634,OUA,ne
3062,PHX,ne
7178,DRS,ne
2594,SGN,ne
11407,HRG,ne
1051,YZF,ne
5354,BEL,ne
5350,BVB,ne
1059,MDG,ne
3340,YQT,ne
4614,ALB,ne
1753,CGO,ne
10054,MJM,ne
5142,CGH-GRU,ne
9113,TRN,ne
4256,BRO,ne
5537,LIM,ne
3702,BAQ,ne
5538,SCL,ne
3707,CCS,ne
3118,TRC,ne
4914,JPA,ne
3112,LOV,ne
4910,NAT,ne
8640,SKG,ne
10062,LAD,ne
2713,PEK,ne
2659,PUS,ne
2650,TAE,ne
11309,DIR,ne
495,JED,ne
4226,MSY,ne
10692,BND,ne
8988,TIP,ne
493,DXB,ne
6573,BMA,ne
7599,CPH,ne
4593,SYR,ne
3796,RIC,ne
7593,LED,ne
10749,JDH,ne
4862,OMA,ne
2010,BIL,ne
3835,GSO,ne
10286,DUR,ne
10283,JNB,ne
10280,NBO,ne
9708,SXB,ne
9660,KIV,ne
4039,FPO,ne
9704,FRA,ne
9705,STR,ne
10110,LUN,ne
11378,JAI,ne
3841,RDU,ne
4486,MAD,ne
3847,TYS,ne
9036,ODS,ne
8975,DAM,ne
2900,BDO,ne
2907,POM,ne
891,MIU,ne
4047,STI,ne
2301,KMG,ne
5317,LPG,ne
7,GIB,ne
11280,JIB,ne
11285,CJB,ne
6580,TLL,ne
3215,GLA,ne
3152,LAS,ne
2837,CCU,ne
2836,DAC,ne
3158,HNL,ne
2271,FOC,ne
3012,FAT,ne
11695,TSV,ne
11693,BME,ne
11690,CNS,ne
4260,TAM,ne
9122,PSA,ne
9123,CEQ,ne
2458,RGN,ne
9241,ORN,ne
6539,HEL-HEM,ne
5543,CCP,ne
4820,BWI-DCA-IAD,ne
6362,PEE,ne
3086,ELP,ne
10155,PTG,ne
2629,ICN,ne
9232,LYS,ne
6406,OUL,ne
7561,WAW,ne
19,BCN,ne
862,MHD,ne
2756,URC,ne
2740,KHH-RMQ-TNN,ne
7409,LUX,ne
7768,LGW,ne
3907,ILM,ne
887,NDJ,ne
1973,NKG,ne
889,KAN,ne
6814,VNO,ne
2087,CTU,ne
11526,CAI,ne
9712,VIE,ne
9050,VCE,ne
11676,TBZ,ne
6621,NRK,ne
10086,NOV,ne
8923,HER,ne
9954,ACC,ne
8929,LAK,ne
3351,NGO,ne
3050,SBA,ne
5445,SYQ,ne
10942,IDR,ne
4303,TUL,ne
4307,SAT,ne
4306,IAH,ne
4305,JAN,ne
4304,DAL-DFW-FTW,ne
9471,MUC-MUCf,ne
5171,CWB,ne
4479,BIO,ne
3657,KMS,ne
3650,BYK,ne
8786,CTA,ne
692,IXJ,ne
4900,MAO,ne
4902,FOR,ne
2482,DAD,ne
7612,IEV,ne
1464,CJJ,ne
11706,ROK,ne
10355,AWZ,ne
9273,TLS,ne
10352,LHE,ne
10353,LYP,ne
2704,DMK,ne
2706,MNL,ne
2701,UTP,ne
10051,KGA,ne
6440,TRD,ne
1015,COR,ne
4234,GLS,ne
415,ASB,ne
6310,SVO,ne
10753,GWL,ne
4970,GYN,ne
2797,KTM,ne
3826,BNA,ne
9095,MIR,ne
11806,PMR,ne
9092,ALG,ne
3947,CHS,ne
11202,SAH,ne
8324,BBU,ne
10693,AGR,ne
9714,BTS,ne
5099,PMG,ne
3470,NRT,ne
834,EVN,ne
9919,IBA,ne
11364,VTZ,ne
3479,SAN-TIJ,ne
4125,LIT,ne
4497,LIS-XXC,ne
4496,OPO,ne
2665,FUK,ne
363,KHG,ne
10542,KWI,ne
5487,AQP,ne
3310,LPL-MAN,ne
3312,DUB,ne
6679,RIX,ne
9009,BEN,ne
5480,CUZ,ne
4055,SJU,ne
9390,ROV,ne
10718,DHA,ne
1648,KWJ,ne
9966,DAR,ne
10860,MED,ne
3614,NDB,ne
3615,NKC,ne
3619,DKR,ne
64,IKT-UIIR,ne
3162,YXY,ne
257,TAS,ne
3161,ANC,ne
5434,MDQ,ne
10916,BHO,ne
10959,BDQ,ne
1030,MDZ,ne
11427,KRT,ne
9137,SAW,ne
9135,NAP,ne
4274,TLC,ne
2437,CNX,ne
9138,IST,ne
5554,UIO,ne
5557,MEC,ne
8268,SIP,ne
3727,BRM,ne
3722,VLN,ne
11069,IXU,ne
966,SRE,ne
4933,MCZ,ne
2899,SRG,ne
963,LPB,ne
11061,ISK,ne
4050,CTM,ne
2514,RNO,ne
1512,YXD,ne
4082,FLL-MIA-PBI,ne
2730,TPE,ne
8364,ALL,ne
10526,ZAH,ne
2631,GMP,ne
5118,CFB,ne
9229,MRS,ne
879,NIM,ne
3185,SLE,ne
4590,BUF,ne
2742,XMN,ne
2039,SLC,ne
3917,ATL,ne
3916,CAE,ne
10268,PLZ,ne
10269,CPT,ne
3688,CKY,ne
9048,ZAG,ne
11830,CBR,ne
10460,MUX,ne
4794,PHL,ne
4791,CLE,ne
4793,PIT,ne
7335,KRK,ne
11394,MAA,ne
11391,PNQ,ne
11390,BOM,ne
4159,SHV,ne
3221,PIK,ne
2967,OKD,ne
10119,HRE,ne
11784,AKL,ne
10411,IXC,ne
10810,DOH,ne
10815,KTU,ne
3481,LAX-ONT-SNA,ne
3485,ITM,ne
3484,KIX,ne
3486,NKM,ne
6010,OMS,ne
11675,GYD,ne
7609,LCJ,ne
2490,CRK,ne
6390,VOG,ne
7604,TXL,ne
7898,BHX,ne
3035,ABQ,ne
11771,ADL,ne
7891,CRL,ne
2727,TAO,ne
9260,BOD,ne
5014,VIX,ne
10736,KNU,ne
5019,CGR,ne
4891,MSP,ne
4897,SLZ,ne
987,TUC,ne
7872,AMS-RTM,ne
9857,COO,ne
9858,BNI,ne
4203,BTR,ne
9996,GOM,ne
2784,CGP,ne
4802,YYZ,ne
4804,MKE,ne
4806,DET-DTW,ne
1526,YYC,ne
1522,YKA,ne
1523,YQR,ne
9080,FCO,ne
8451,SOF,ne
4119,MEM,ne
847,PEW,ne
845,KSH,ne
3464,SDJ,ne
4297,GUA,ne
7375,LWO,ne
11354,PAT,ne
2674,SHA,ne
4905,THE,ne
5333,REC,ne
5335,SSA,ne
5336,BSB,ne
5339,ASU,ne
4063,SKB,ne
3210,EDI,ne
4746,DAY,ne
11814,WLG,ne
8820,ADA,ne
11817,CHC,ne
8824,AYT,ne
3600,RAK,ne
10001,KGL,ne
4896,STL,ne
3178,SEA,ne
3074,IPL,ne
5345,VCP,ne
5347,POA,ne
6117,KUF,ne
5348,EZE,ne
5349,MVD,ne
10927,AMD,ne
606,ISB,ne
9108,BGY-LIN-MXP,ne
9104,ADJ,ne
9102,BEY,ne
9101,LTK,ne
8278,BEG,ne
2136,NGB,ne
6340,CEK,ne
3106,GYM,ne
11076,PZU,ne
11727,OOL,ne
11724,BNE,ne
2509,DEN,ne
9353,DOK,ne
2725,USN,ne
5281,ROS,ne
2643,TYN,ne
489,DLC,ne
487,TSN,ne
11313,ADD,ne
3781,SDF,ne
7589,NUE,ne
6541,OSL,ne
9801,CDG-ORY,ne
8483,TGD,ne
4992,CMG,ne
3192,PDX,ne
3190,YVR,ne
4582,ROC,ne
3922,SUM,woe
3923,MYR,woe
9074,PEG,woe
3921,AHN,woe
9070,SPU,woe
9077,PSR,woe
10294,RUN,woe
4026,GIF,woe
11540,EDL,woe
4787,YRO,woe
4784,YCV,woe
4782,YHU,woe
4029,VRB,woe
3850,HKY,woe
3998,VPS,woe
3997,HRT,woe
3996,NDP-PNS,woe
3858,PGV,woe
964,CBB,woe
1798,MYJ,woe
5461,PIU,woe
5464,CIX,woe
5469,PCL,woe
4078,MLB,woe
6723,JHE,woe
5265,PET,woe
10963,RRK,woe
2319,MMY,woe
6655,VVK,woe
6653,GSE,woe
4833,EAU,woe
290,AZN,woe
3776,SOM,woe
8235,RJK,woe
4320,BIQ,woe
3779,HTW,woe
4326,SDR,woe
4655,SBN,woe
3141,PVR,woe
4656,EKI,woe
3144,ZMM,woe
4557,MTW,woe
4658,EWB,woe
2543,CCR,woe
5417,CRD,woe
2545,JSG,woe
3026,LAM,woe
2548,SCK,woe
3022,CRO,woe
3020,VIS,woe
11440,EBD,woe
11762,GOS,woe
2266,OKA,woe
7884,EIN,woe
4217,LFT,woe
4216,CWF,woe
4211,CXO,woe
9258,BVE,woe
5004,PLU,woe
8049,CDF,woe
10338,TLE,woe
4193,HLR,woe
7862,RNS,woe
8129,TRS,woe
7905,PME,woe
11003,TIF,woe
11120,AHB,woe
4816,HPN,woe
4814,SMD,woe
1845,JCJ,woe
8939,SFA,woe
4959,ARS,woe
9416,KSC,woe
1539,SFF,woe
9556,SZG,woe
9730,UHE,woe
10143,ERS,woe
9732,AGB,woe
3808,BWG,woe
3804,FAF-LFI-PHF,woe
5363,RDS,woe
3800,ROA,woe
4101,PLK,woe
8348,CRA,woe
4105,SWO,woe
4104,ASG,woe
4106,PGR,woe
4109,JBR,woe
8341,BAE,woe
5134,QDV,woe
5113,SDU-SNZ,woe
4545,GRB,woe
3517,PRM,woe
2685,SWA,woe
6806,GWT,woe
4774,ANP,woe
3207,PSL,woe
5183,PTO,woe
5229,CXJ,woe
3202,ABZ,woe
6755,VEJ,woe
3964,MXF,woe
3965,MEI,woe
7519,TRF,woe
8830,AAE,woe
3969,CKF,woe
2860,PEN,woe
2861,BWH,woe
3638,BOY,woe
4889,JEF,woe
3633,ZIG,woe
4619,LAN,woe
7676,CBG,woe
7674,AYH,woe
4615,ASH,woe
5458,LOH,woe
1198,JGN,woe
5063,CAW,woe
11400,TUU,woe
3343,BJI,woe
5452,SNC,woe
5149,UBT,woe
3347,DLH,woe
1696,CGO,woe
9592,DEB,woe
5356,RSA,woe
9111,QPA,woe
4250,MFE,woe
616,OHT,woe
9117,BLQ,woe
5539,NVA,woe
8246,AHZ,woe
949,BBT,woe
4917,CPV,woe
4667,SWF,woe
4661,HYA,woe
11162,GIZ,woe
4911,QIG,woe
11711,GLT,woe
11715,BDB,woe
8649,BDS,woe
2533,MTJ,woe
683,XBJ,woe
5177,PNG,woe
5176,AGT,woe
2718,WJU,woe
2719,MPK,woe
9209,CCF,woe
5455,CUE,woe
7126,NRN,woe
7955,AER,woe
9168,EBU,woe
7229,UCK,woe
9165,CMF,woe
491,SZB,woe
7958,TZX,woe
5585,UCT,woe
22,JRB-TSS,woe
4383,VGO,woe
7596,AAL,woe
3792,OWB,woe
10667,SKZ,woe
4985,POJ,woe
7691,QAR,woe
4988,GVR,woe
4860,MLI,woe
3599,ERH,woe
3832,INT,woe
3833,GCY,woe
3935,HQU,woe
3932,DNL,woe
4030,SRQ,woe
4033,SUA,woe
4035,VNC,woe
6715,RNB,woe
8520,AJA,woe
9901,CBQ,woe
4131,UOX,woe
3569,RBA,woe
4136,SPS,woe
6356,NJC,woe
827,NMA,woe
820,GRV,woe
390,KSQ,woe
10234,BFN,woe
10239,PZB,woe
5318,PDP,woe
4040,APF,woe
8878,RHO,woe
4721,MDT,woe
4049,HEX,woe
1657,HIN,woe
8754,REG,woe
3740,AAO,woe
4549,AUG,woe
7720,HTF,woe
3151,STS,woe
3157,IFP,woe
3156,MCC-MHR-SAC,woe
3155,APA-BFK-BJC-WBU,woe
4541,YWF,woe
973,TJA,woe
3159,FBK-PII,woe
7785,BSH,woe
249,TBS,woe
7780,CQF,woe
5405,CVI,woe
2276,FOC,woe
11698,ISA,woe
3013,FMN,woe
6768,MMX,woe
3016,MRY,woe
9049,VIC-VRN,woe
9121,RMI,woe
5034,SJP,woe
4439,VSE,woe
6923,BZG,woe
2886,BTU,woe
4539,BGR,woe
4829,AUW,woe
4826,RRL,woe
5540,ATF,woe
4949,ITN,woe
4948,JEQ,woe
3696,RCH,woe
3697,CZE,woe
9401,ZTN,woe
11627,RZR,woe
8613,OLB,woe
6361,CEE,woe
9044,LUG,woe
3081,TUS,woe
8590,DRM,woe
3873,POB,woe
3875,CHA,woe
9584,BSL,woe
7359,MXR,woe
9235,GRO,woe
8476,SZR,woe
9233,CFE,woe
11,PGF,woe
3881,GSP,woe
8184,JLO,woe
3441,TTJ,woe
2022,IDA,woe
2023,RBG,woe
3226,BHD,woe
3902,TOC,woe
3908,TUP,woe
9058,PMF,woe
11522,PSD,woe
10573,BUZ,woe
10120,OHI,woe
5199,CNT,woe
3234,BLK,woe
4003,PFN,woe
5190,CFC,woe
5193,NVT,woe
4007,GNV,woe
3974,NAB,woe
10429,MRX,woe
8840,GJL,woe
203,OGZ,woe
2875,IPH,woe
2979,CTS,woe
3059,PSP,woe
3052,OXR,woe
1042,VGS,woe
3029,BGD,woe
11417,UVL,woe
2339,ISG,woe
1049,SRZ,woe
4718,RDG,woe
1761,SIA,woe
3716,CBS,woe
3711,PBL,woe
3713,CUM,woe
9476,ZNI,woe
9477,ERD,woe
5419,SST,woe
2091,AQG,woe
7249,EGO,woe
11231,CDP,woe
5504,OVL,woe
4477,LRH,woe
8423,VAR,woe
4909,IMP,woe
1544,MWH,woe
2526,AFF,woe
2521,CSN,woe
1540,COE,woe
4901,QBX,woe
4674,GON,woe
4673,DXR,woe
7611,UMY,woe
4907,MVF,woe
1549,YKM,woe
8711,ASR,woe
546,SDT,woe
11704,GEA,woe
8,BZR-MPL,woe
11468,ALY,woe
1462,XNN,woe
5065,POO,woe
3885,NKT,woe
9272,MDM,woe
5148,SOD,woe
2463,THK,woe
5146,MGF,woe
10055,SZA,woe
3403,TOY,woe
9175,AUR,woe
7441,HMJ,woe
4876,MKC,woe
4873,SPI,woe
8984,HFA,woe
4400,CHV,woe
11767,GFF,woe
7683,UTC,woe
2142,CKG,woe
4974,PIV,woe
3948,OKZ,woe
11801,GIS,woe
3943,TCL,woe
3944,SCD,woe
5001,UBA,woe
11553,ASF,woe
6708,AGH,woe
10129,TSB,woe
9659,GRZ,woe
11567,MCX,woe
9913,TKC,woe
9912,DLA,woe
9915,NSI-YAO,woe
4285,TCN,woe
10335,WVK,woe
5096,REZ,woe
11361,STV,woe
9780,DIJ,woe
4490,VIT,woe
1749,HIJ,woe
7022,BWE,woe
5484,JUL,woe
5482,PIO,woe
4056,SPB-STT,woe
780,DSK,woe
5248,BUV,woe
9006,MRA,woe
5241,ALQ,woe
4059,MSB-SFG,woe
1721,LYA,woe
11813,NSN,woe
10866,AZI,woe
8819,BJV,woe
3758,CBL,woe
3754,CLZ,woe
3757,CGU-PZO-SFX,woe
3756,BNS,woe
4632,ORH,woe
3006,SRU,woe
4637,JXN,woe
4636,AZO,woe
3003,SGU,woe
3167,EDF-MRI,woe
3009,WVI,woe
2200,WNZ,woe
7097,CBU,woe
5438,MJR,woe
6689,HAD,woe
9107,TSF,woe
11420,ABS,woe
10919,BHJ,woe
5029,PSW,woe
8104,ARW,woe
2584,HHQ,woe
5020,VOT,woe
10645,NAL,woe
8108,BLX,woe
1863,JSP,woe
1869,HZG,woe
3725,VCR,woe
5558,PVO,woe
3723,BLA,woe
4930,PAV,woe
4838,JMN,woe
4934,APQ,woe
961,RBR,woe
3681,SVQ,woe
4832,ATY,woe
4835,STE,woe
11735,CFS,woe
9438,PZY,woe
4080,FMY,woe
3760,CUC,woe
2737,TAK,woe
2732,WUH,woe
3867,THA,woe
3866,GSB,woe
10160,PHW,woe
3531,AGP-UTL,woe
3538,TTU,woe
11831,ABX,woe
8568,SSX,woe
876,AEH,woe
3437,IZO,woe
5388,CPG,woe
2035,CYS,woe
2034,HIF-OGD,woe
4597,FNT,woe
2030,MFR,woe
4599,PSM,woe
7779,SOU,woe
10261,ELS,woe
10264,OUH,woe
3912,GRD,woe
6990,POZ,woe
5203,PSS,woe
5205,RES,woe
4799,ACY-AIY,woe
5206,CNQ,woe
6631,TAY,woe
10281,BZV,woe
4790,RAC,woe
4792,SCR,woe
6636,THN,woe
3541,MLN-NDR,woe
8333,GOA,woe
11257,HAL,woe
4010,DAB-OMN,woe
353,BHK,woe
3989,BFM,woe
8915,CHQ,woe
8919,TEE,woe
3983,BQK,woe
5064,AQA,woe
1780,UBJ,woe
10217,NCS,woe
3041,SMX,woe
3045,LPC,woe
3044,PMD,woe
5478,AYP,woe
2612,KBR,woe
1777,TKS,woe
5271,RIG,woe
5370,ZCO,woe
4708,ABE,woe
3489,PAE,woe
3761,SFD,woe
3762,SCI,woe
3763,CXA,woe
4334,EAS,woe
1151,BAV,woe
4563,YOO,woe
2553,MOD,woe
4567,PWM,woe
3646,JMY,woe
1552,PSC,woe
3004,LSN,woe
7606,GUT,woe
2492,UBP,woe
2497,NCP,woe
3033,BFL,woe
2193,CSX,woe
2391,TTT,woe
7896,DCS-DSA-LBA-XNM,woe
539,HDM,woe
2399,HCN,woe
8036,KLU,woe
5154,UMU,woe
4209,BIX-GPT,woe
2996,MCE,woe
4201,GTU,woe
8132,NCY,woe
2781,CXB,woe
2806,COH,woe
6309,BXH,woe
4968,BPS,woe
4964,APS,woe
424,MYP,woe
308,OSS,woe
2600,SGZ,woe
9088,JKH,woe
3953,AUO,woe
3956,CSG-MKF,woe
3954,WRB,woe
4114,FSM,woe
3262,GLO,woe
4113,PWA-TIK,woe
5124,BJP,woe
5125,OUS,woe
9641,IAS,woe
10030,ARK,woe
8956,GAE,woe
3463,GAJ,woe
2858,TGG,woe
5082,BAU,woe
5087,MEA,woe
9797,CHR,woe
2677,CZX,woe
2921,MKZ,woe
9038,BZO,woe
10854,UDR,woe
4065,PTP,woe
5231,BGV,woe
4741,WRI,woe
10992,PBD,woe
9973,MDK,woe
9970,APL,woe
8778,DNZ,woe
755,BHW-SGI,woe
3604,OZZ,woe
3608,AGA,woe
3072,BWC,woe
2186,KHN,woe
3078,CXL,woe
3175,YPF,woe
5346,URG,woe
723,DEF,woe
2351,HUN,woe
9855,ENU,woe
9133,BRI,woe
4366,LGV,woe
9109,SBZ,woe
5447,PAC,woe
8074,SZD,woe
1202,DSN,woe
1358,YNT,woe
5528,TLX,woe
4458,COV,woe
3733,MUN,woe
4693,CAK,woe
4692,HZL,woe
7314,ZTR,woe
4929,PNZ,woe
4516,YWA,woe
1110,SHE,woe
11725,TWB,woe
8675,BTZ,woe
2421,ZHA,woe
2505,NAK,woe
4093,IAB-ICT,woe
9605,ACH,woe
11679,RAS,woe
2646,KUV,woe
488,NHA,woe
8413,INI,woe
5040,RAO,woe
3787,LEX,woe
3789,EVV,woe
6464,JOE,woe
473,AFZ,woe
9517,MCQ,woe
4858,IOW,woe
4584,CON,woe
9519,CMR,woe
