iata_code,woe_id
GIB,12513027
MPL,12512897
BZR,12512985
PGF,12512957
BCN,22411879
JRB,12523144
TSS,12523248
IKT,12516044
ALA,12514259
OGZ,12516613
TBS,12513015
TAS,12522725
AZN,12522576
OSS,12514111
YUL,12511638
BHK,12522588
KSQ,12522643
MYP,12517997
AFZ,12513753
NHA,12523189
DLC,23388254
SZB,12515008
DXB,23388362
JED,23388353
HDM,12513727
SDT,12515266
ISB,12515238
OHT,12515243
XBJ,12513708
DEF,12513715
BHW,12515267
SGI,12523059
DSK,12515232
GRV,12516015
NMA,12522684
KSH,12513702
PEW,12515258
BGW,12513890
SDA,12513921
MHD,12513744
AEH,12511930
NDJ,12511933
BBT,12512447
RBR,12511288
LPB,12510906
CBB,12510908
TJA,12510904
TUC,12510566
COR,12510482
MDZ,12510491
VGS,12523570
SRZ,12510905
SHE,12512041
BAV,12511987
JGN,12512095
DSN,12512040
YNT,12523272
XNN,12512251
CJJ,12514203
YYC,12511594
SFF,12519720
COE,12519264
MWH,12519959
YKM,12522526
PSC,12522188
HIN,12514226
CGO,12523109
LYA,12523313
HIJ,28360532
SIA,12512238
TKS,12514027
UBJ,12514036
MYJ,12513985
JCJ,12523361
JSP,12523360
HZG,12512068
BIL,12520688
IDA,12519708
RBG,12521657
MFR,12520884
HIF,12520184
OGD,12521198
CYS,12519176
SLC,12521709
BTF,12521880
CTU,12512010
AQG,12523067
NGB,12523321
CKG,12523085
KHN,12512149
CSX,12523089
WNZ,12523455
OKA,12513995
FOC,12523107
MMY,12513990
ISG,12513966
HUN,12517939
TTT,12517928
HCN,28760738
ZHA,12512295
CNX,12517750
RGN,12510924
THK,12514558
DAD,12523093
CRK,12515607
UBP,12517791
NCP,12515609
NAK,12517758
DEN,12523052
RNO,12519047
CSN,12519083
AFF,12522260
MTJ,12521012
NGZ,12518552
HWD,12520140
OAK,12520917
NUQ,12520980
PAO,12521292
SFO,12521721
SJC,12521722
SQL,12523228
JCE,12523433
CCR,12518962
JSG,12523382
SCK,12522018
MOD,12520978
HHQ,12517753
SGN,12522956
SGZ,12517785
KBR,12515011
ZAM,12515655
DVO,12515616
SSN,12514227
GMP,23388324
TYN,12512207
KUV,12514209
TAE,12514232
KMJ,12513981
HSG,28360533
SHA,23388248
CZX,12523092
SZX,12523239
SWA,12512184
DMK,12517747
BKK,56049647
MNL,12515637
BJS,12511989
WJU,28808960
MPK,12514211
USN,12514234
TAO,12512130
TSA,12517954
TPE,2306254
HGH,12512090
WUH,12512230
TAK,12513998
HIW,12513957
CYI,12517927
PIF,12517951
TXG,12517956
TNN,12517957
URC,12523254
CXB,12510888
CGP,12510886
COH,12513570
DAC,12510895
CCU,12513561
TGG,12515012
PEN,12515004
BWH,12514991
IPH,12514993
BTU,12514990
SRG,12513449
BDO,12513471
HLP,23388289
CGK,23388291
QPG,12517522
XSP,12517523
MKZ,12515001
CTS,12523091
MCE,12520900
SGU,12521964
LSN,12520707
SRU,12523401
WVI,12522355
FAT,12519826
FMN,12519792
MRY,12521001
VIS,12522291
CRO,12519317
LAM,12520705
BGD,12520270
BFL,12520881
ABQ,12518564
SMX,12521743
PMD,12521290
LPC,12520691
SBA,12521741
OXR,12521271
PSP,12521289
GEU,12519913
LUF,12520723
DVT,12521366
PHX,12521872
BWC,12518921
IPL,12520284
CXL,12519010
TUS,12522214
ELP,12519608
GYM,12514881
LOV,12514922
TRC,12514978
PVR,12514911
ZMM,12514988
STS,12521904
LAS,12520849
VGT,12521155
APA,12519112
WBU,12518900
BFK,12518965
BJC,12520355
MCC,12520869
SAC,12521691
MHR,12521692
IFP,12518972
NIU,12520216
FBK,12522306
PII,12523300
ANC,12518613
EDF,12519634
MRI,12520909
YPF,12524194
BFI,12518877
TCM,12520868
SEA,12522066
SLE,12520877
YVR,12511894
HIO,12521452
PDX,12521453
TTD,12521456
ABZ,22450858
PSL,12524000
EDI,22463734
GLA,22482705
PIK,22484413
BHD,23387943
BLK,22454971
GLO,12518156
BUT,12523977
MAN,22478032
DUB,23388266
YYT,12511848
BJI,12518794
DLH,12519545
NGO,28298951
TOY,12514030
IZO,12513969
TTJ,12514029
GAJ,12514035
SDJ,12514015
HND,23388311
CLD,12520851
NKX,12520969
TIJ,12514874
SEE,12519901
NZY,12521154
BUR,12518974
CCB,12519000
CNO,12519185
CPM,12519300
AJO,12519321
EMT,12519607
RIR,12519737
SNA,12520383
LGB,12520696
SLI,12520704
LAX,12520706
SBD,12521168
ONT,12521228
RAL,12521602
SMO,12521744
VNY,12522268
WHP,12522426
JWC,12523147
SBT,12523215
JID,12523312
JRD,12523325
JLB,12523379
JOC,12523381
SFR,12523400
CCD,12523425
JCX,12523426
JIO,12523434
CVR,12524627
ITM,12514009
NKM,23388304
PAE,12521896
PRM,12523961
UTL,12523968
AGP,23232917
TTU,12514792
MLN,12517556
NDR,24554857
RBA,12514791
ERH,12514786
OZZ,12514789
AGA,12523043
ZIG,12517511
OUA,12522555
BOY,12522554
JMY,12523368
BYK,12513871
ABJ,12513870
SVQ,12517571
CKY,12513342
CAS,12514780
CMN,12514788
RCH,12512362
CZE,12522796
BAQ,12512376
CCS,12522849
PBL,12522759
CUM,12522754
CBS,12522825
VLN,12522858
BLA,12522795
VCR,12522766
BRM,12522758
MUN,12522819
AAO,12522752
CLZ,12522762
BNS,12522757
PZO,12523683
CGU,12522816
SFX,12523219
CBL,12522769
CUC,12512370
SFD,12522842
SCI,12522829
CXA,12522761
BOG,12512375
LAT,12523609
SOM,12522844
HTW,12520583
LOU,12518909
ZTV,12521983
LEX,24554866
EVV,12519675
OWB,12521266
RIC,12518996
ROA,12521606
FAF,12519719
LFI,12520568
PHF,12521311
BWG,12518908
JWN,12520376
BNA,12521083
MQY,12521895
INT,12521891
GCY,12519997
GSO,12522200
RDU,12519551
TYS,12520857
HKY,12520179
PGV,12521400
GSB,12521806
THA,12522218
POB,12521434
CHA,12520716
GSP,12520010
NKT,12519168
TOC,12522150
ILM,12521109
TUP,12522222
GRD,12520011
CAE,12519284
CUB,12519285
RYY,12519258
PDK,12519449
MGE,12519503
ATL,12522118
JAO,12523135
JAJ,12523411
JAE,12523412
AHN,12518684
SUM,12522046
MYR,12521074
BHM,12518836
DNL,12519408
HQU,12522135
TCL,12522227
SCD,12520905
CHS,12519142
OKZ,12520421
AUO,12518697
WRB,12521620
MKF,12523385
CSG,23418432
MXF,12520844
MEI,12520455
SVN,12520258
SAV,12521756
CKF,12519362
NAB,12523410
BQK,12519920
BFM,12518943
NDP,12523388
PNS,12521335
HRT,12520265
VPS,12519601
PFN,12521294
GNV,12519850
DAB,12519432
OMN,12521244
SPG,12518560
CLW,12519231
PIE,12521978
TPA,12522077
GIF,12522497
VRB,12522279
SRQ,12521750
SUA,12522501
VNC,12522276
APF,12521078
STI,12512614
HEX,12512617
SIG,12515661
STT,12522972
SPB,12523060
MSB,12523315
SFG,12513276
SKB,12517381
PTP,12513277
ORF,12521146
NGU,12521147
CLT,12519519
CRG,12519349
JAX,12520339
NIP,12520342
ORL,12521242
MCO,12521243
DWS,12523435
MLB,12520889
FMY,12521276
BCT,12518876
FXE,12519776
FLL,12519836
TMB,12520438
MIA,12520923
HWO,12521157
OPF,12521232
LNA,12521287
PBI,12521288
PMP,12521431
IAB,12520872
ICT,12522432
PLK,12520732
ASG,12521941
SWO,12522014
PGR,12520477
JBR,12520397
TIK,12522143
PWA,12522439
FSM,12519781
MEM,12520895
LIT,12518526
LRF,12520672
RBM,12521621
UOX,12522253
SPS,12521831
BAD,12518742
DTN,12521844
SHV,12521845
HLR,12520217
GTU,12519890
BIX,12520431
GPT,12520037
CXO,12521005
CWF,12519160
LFT,12520518
NEW,12520542
MSY,12521116
NBG,12521117
BCS,12521919
GLS,12521765
MFE,12520953
BRO,12518951
TAM,12514875
TLC,12514900
TCN,12514973
GUA,12513336
TUL,12522219
ADS,12518528
DAL,12519401
