2,,12517536,Aeropuerto de Almería
7,GIB,12513027,Gibraltar Airport
8,,56051882,Aérodrome de Nîmes-courbessac
8,MPL,12512897,Aéroport de Montpellier-Mediterranee
8,,12512899,Aéroport International de Nîmes-Arles-Camargue
8,BZR,12512985,Aéroport Béziers-Vias
8,,56051860,Aérodrome de Pézenas-nizas
8,,56051863,Aérodr de Montpellier-candillargues
11,PGF,12512957,Aéroport International Perpignan-Rivesaltes
19,,12517564,Aeropuerto de Reus
19,BCN,22411879,Aeropuerto de Barcelona
19,,22656494,Aeropuerto dé Sabadell
19,,56049667,Aeroclub Del Bages
22,JRB,12523144,Downtown Manhattan Heliport
22,,12523185,New York Skysports Inc. Seaplane Base
22,,12523347,Battery Park-North Cove Seaplane Base
22,TSS,12523248,East 34th Street Heliport
22,,12523319,East 60th Street Heliport
35,,12515766,Balakhnya Airport
44,,12515924,Chuna Airport
47,,12516989,Tayshet South Airport
51,,12516510,Nizhneudinsk Airport
64,IKT,12516044,Irkutsk Southeast Airport
67,,12515915,Chita-Kadala Airport
71,,12517072,Ulan Ude East Airport
97,,12512220,Tung Shan Airport
102,,12516322,Kyubeyy Airport
114,,12517249,Yelovaya Airport
120,,12516327,Kyzyl South Airport
141,,12516939,Stavropol West Airport
142,,12515821,Blagodarnoyy Airport
152,,12516093,Kararyube Airport
162,,12517258,Yessentuki Airport
163,,12516495,Nezlobnaya Airport
178,,12516090,Karachayevsk Airport
196,ALA,12514259,Alma Ata Airport
196,,12514260,Alma Ata North Airport
196,,12514261,Alma Ata Northwest Airport
202,,12516615,Ordzhonvldzevskaya Airport
203,OGZ,12516613,Ordzhonikidze North Airport
203,,12516614,Ordzhonikidze West Airport
223,,12514109,Milyanfan Airport
225,,12514122,Tokmak Airport
232,,12514117,Przhevalsk Airport
249,TBS,12513015,Tbilisi-Noyo Alekseyevka Airport
249,,12513016,Tbilisi-Soganlug Airport
251,,12512112,Kuqaxian Airport
256,,12522732,Turtkul Airport
257,,12514450,Sary Agach Airport
257,,12522724,Tashkent Airport
257,TAS,12522725,Tashkent South Airport
262,,12513014,Tbilisi-Marneuli Airport
272,,12511976,Aksu Airport
275,,12522741,Yangi Yul Airport
276,,12522731,Toy Tepa Airport
282,,12514096,Dzhalal Abad Airport
282,,12522572,Aim Southeast Airport
290,AZN,12522576,Andizhan Airport
294,,12522698,Pap East Airport
296,,12523169,Gyumri Airport
308,OSS,12514111,Osh Airport
308,,12514113,Osh West Airport
312,,12522619,Gulistan North Airport
322,,12522602,Dimitrovskoye Airport
332,,12517806,Isfara Airport
344,,12522647,Katta-Kurgan East Airport
353,BHK,12522588,Bukhara Airport
354,,12522689,Ndb Krasnogvardeysk Airport
380,,12522658,Kitab Northwest Airport
390,KSQ,12522643,Karshi South Airport
398,,12522620,Guzar Airport
415,,12517960,Ashkhabad Northwest Airport
424,,12517996,Mary North Airport
424,MYP,12517997,Mary Northeast Airport
436,,12518007,Tedzhen Airport
441,,12522727,Termez Airport
473,AFZ,12513753,Sabzevar Airport
487,,12523246,Zhangguizhuang Airport
488,NHA,12523189,Nha-Trang Airport
489,,12512102,Jinxian Southeast Airport
489,,12512277,Yingchengzi Airport
489,DLC,23388254,Chou Shui Tzu Airport
491,,12515007,Simpang Airport
491,SZB,12515008,Sultan Abdul Aziz Shah Airport
493,DXB,23388362,Dubai International Airport
495,,12517347,King Faisal Naval Base
495,JED,23388353,King Abdul Aziz International Airport
505,,12513909,Kirkuk Airport
539,HDM,12513727,Hamadan Airport
546,SDT,12515266,Saidu Sharif Airport
567,,12513725,Gonabad Airport
603,,12513892,Baqubah Airport
606,ISB,12515238,Islamabad International Airport
606,,12515259,Qasim Airport
614,,12513729,Ilam Airport
616,OHT,12515243,Kohat Airport
683,XBJ,12513708,Birjand Airport
692,,12513606,Jammu Airport
723,DEF,12513715,Dezful Airport
725,,12515228,Chashma Airport
743,,12515276,Wana Airport
755,BHW,12515267,Bhagatanwala Airport
755,SGI,12523059,Sargodha Airport
763,,12513745,Masjed Soleiman Airport
780,DSK,12515232,Dera Ismail Khan Airport
820,GRV,12516015,Groznyy Airport
820,,12516016,Groznyy East Airport
821,,12514097,Frunze Airport
826,,12522649,Kayki Airport
827,NMA,12522684,Namangan Airport
827,,12522685,Namangan Northeast Airport
830,,12522661,Kokand Airport
830,,12522663,Kokand South Airport
830,,12522664,Kokland Southeast Airport
830,,12522740,Yangi Kurgan Airport
830,,12522745,Yaydan Northeast Airport
832,,12517809,Kalacha Northeast Airport
833,,12517823,Leninabad Airport
834,,12510427,Yerevan-Parakar Airport
834,,12510428,Yerevan-Yegvard Airport
845,KSH,12513702,Bakhtaran Airport
847,,12515240,Kamra Airport
847,PEW,12515258,Peshawar Airport
847,,12515264,Risalpur Airport
847,,12515272,Tarbela Dam Airport
851,,12513883,Al Taji Airport
851,BGW,12513890,Al Muthana Airport
851,,12513916,Qasr Tall Mihl Airport
851,,12513920,Rasheed Airport
851,SDA,12513921,Baghdad International Airport
856,,12516263,Krasnoyarsk Airport
857,,12514107,Kyzyl Kiya Airport
857,,12522672,Kuva West Airport
857,,12522677,Margelan Airport
