urbanarea_id,iata_code,woe_id,name
7,GIB,12513027,Gibraltar Airport
8,MPL,12512897,Aéroport de Montpellier-Mediterranee
8,BZR,12512985,Aéroport Béziers-Vias
11,PGF,12512957,Aéroport International Perpignan-Rivesaltes
19,BCN,22411879,Aeropuerto de Barcelona
22,JRB,12523144,Downtown Manhattan Heliport
22,TSS,12523248,East 34th Street Heliport
64,IKT,12516044,Irkutsk Southeast Airport
196,ALA,12514259,Alma Ata Airport
203,OGZ,12516613,Ordzhonikidze North Airport
249,TBS,12513015,Tbilisi-Noyo Alekseyevka Airport
257,TAS,12522725,Tashkent South Airport
290,AZN,12522576,Andizhan Airport
308,OSS,12514111,Osh Airport
4783,YUL,12511638,Aéroport International Pierre-Elliott-Trudeau de Montreal
353,BHK,12522588,Bukhara Airport
390,KSQ,12522643,Karshi South Airport
424,MYP,12517997,Mary Northeast Airport
473,AFZ,12513753,Sabzevar Airport
488,NHA,12523189,Nha-Trang Airport
489,DLC,23388254,Chou Shui Tzu Airport
491,SZB,12515008,Sultan Abdul Aziz Shah Airport
493,DXB,23388362,Dubai International Airport
495,JED,23388353,King Abdul Aziz International Airport
539,HDM,12513727,Hamadan Airport
546,SDT,12515266,Saidu Sharif Airport
606,ISB,12515238,Islamabad International Airport
616,OHT,12515243,Kohat Airport
683,XBJ,12513708,Birjand Airport
723,DEF,12513715,Dezful Airport
755,BHW,12515267,Bhagatanwala Airport
755,SGI,12523059,Sargodha Airport
780,DSK,12515232,Dera Ismail Khan Airport
820,GRV,12516015,Groznyy Airport
827,NMA,12522684,Namangan Airport
845,KSH,12513702,Bakhtaran Airport
847,PEW,12515258,Peshawar Airport
851,BGW,12513890,Al Muthana Airport
851,SDA,12513921,Baghdad International Airport
862,MHD,12513744,Mashhad Airport
876,AEH,12511930,Abeche Airport
887,NDJ,12511933,Ndjamena Airport
949,BBT,12512447,Berberati Airport
961,RBR,12511288,Aeroporto Internacional Presidente Médici
963,LPB,12510906,El Alto International Airport
964,CBB,12510908,Jorge Wilsterman Airport
973,TJA,12510904,Capitan Oriel Lea Plaza Airport
987,TUC,12510566,Teniente Benjamin Matienzo Airport
1015,COR,12510482,Ingeniero Ambrosio L.V. Taravella International Airport
1030,MDZ,12510491,El Plumerillo Airport
1042,VGS,12523570,General Villegas Airport
1049,SRZ,12510905,El Trompillo Airport
1110,SHE,12512041,Dongta Airport
1151,BAV,12511987,Baotou Airport
1198,JGN,12512095,Jiayuguan Airport
1202,DSN,12512040,Dongsheng Airport
1358,YNT,12523272,Yantai Airport
1462,XNN,12512251,Xining Airport
1464,CJJ,12514203,??????
1526,YYC,12511594,Calgary International Airport
1539,SFF,12519720,Felts Field Airport
1540,COE,12519264,Coeur d'Alene Air Term Airport
1544,MWH,12519959,Grant County International Airport
1549,YKM,12522526,Yakima Air Terminal
1552,PSC,12522188,Tri Cities Airport
1657,HIN,12514226,????
1696,CGO,12523109,Zhengzhou Airport
1721,LYA,12523313,Luoyang Airport
1749,HIJ,28360532,????
1761,SIA,12512238,Xiguan Airport
1777,TKS,12514027,????
1780,UBJ,12514036,??????
1798,MYJ,12513985,????
1845,JCJ,12523361,Chu Ja Heliport
1863,JSP,12523360,Sogwipo Heliport
1869,HZG,12512068,Hanzhong Airport
2010,BIL,12520688,Logan International Airport
2022,IDA,12519708,Fanning Field Airport
2023,RBG,12521657,Roseburg Regional Airport
2030,MFR,12520884,Rogue Valley International-Medford Airport
2034,HIF,12520184,Hill Air Force Base
2034,OGD,12521198,Ogden Hinckley Airport
2035,CYS,12519176,Cheyenne Airport
2039,SLC,12521709,Salt Lake City International Airport
2039,BTF,12521880,Skypark Airport
2087,CTU,12512010,Chengdushuang Liu Airport
2091,AQG,12523067,Anqing Airport
2136,NGB,12523321,Ningbo Airport
2142,CKG,12523085,Chongqing Airport
2186,KHN,12512149,Nanchang New Airport
2193,CSX,12523089,Huanghua Airport
2200,WNZ,12523455,Wenzhou Airport
2266,OKA,12513995,????
2276,FOC,12523107,Fuzhou Airport
2319,MMY,12513990,????
2339,ISG,12513966,????
2351,HUN,12517939,?????
2391,TTT,12517928,?????
2399,HCN,28760738,????
2421,ZHA,12512295,Zhanjiang Airport
2437,CNX,12517750,Chiang Mai International Airport
2458,RGN,12510924,Mingaladon Airport
2463,THK,12514558,Thakhek Airport
2482,DAD,12523093,Da Nang Airport
2490,CRK,12515607,Clark Field Airport
2492,UBP,12517791,Ubon Airport
2497,NCP,12515609,Cubi Point Naval Air Station
2505,NAK,12517758,Nakhon Ratchasima Airport
2509,DEN,12523052,Denver International Airport
2514,RNO,12519047,Reno-Tahoe International Airport
2521,CSN,12519083,Carson City Airport
2526,AFF,12522260,United States Air Force Academy Airstrip
2533,MTJ,12521012,Montrose Regional Airport
2541,NGZ,12518552,Alameda Naval Air Station
2541,HWD,12520140,Hayward Executive Airport
2541,OAK,12520917,Oakland International Airport
2541,NUQ,12520980,Moffett Federal Airfield
2541,PAO,12521292,Palo Alto Airport of Santa Clara County
2541,SFO,12521721,San Francisco International Airport
2541,SJC,12521722,Norman Y Mineta San Jose International Airport
2541,SQL,12523228,San Carlos Airport
2541,JCE,12523433,Oakland Convention Center Heliport
2543,CCR,12518962,Buchanan Field Airport
2545,JSG,12523382,San Rafael Heliport
2548,SCK,12522018,Stockton Metro Airport
2553,MOD,12520978,Modesto City County Airport-Harry Sham Field
2584,HHQ,12517753,Hua Hin Airport
2594,SGN,12522956,Tan Son Nhut Airport
2600,SGZ,12517785,Songkhla Airport
2612,KBR,12515011,Sultan Ismail Petra Airport
2614,ZAM,12515655,Zamboanga International Airport
2616,DVO,12515616,Francisco Bangoy International Airport
2631,SSN,12514227,????
2631,GMP,23388324,??????
2643,TYN,12512207,Taiyuan Wusu Airport
2646,KUV,12514209,????
2650,TAE,12514232,??????
2665,KMJ,12513981,????
2665,HSG,28360533,????
2674,SHA,23388248,Hongqiao Airport
2677,CZX,12523092,Changzhou Airport
2683,SZX,12523239,Shenzhen Airport
2685,SWA,12512184,Shantou Northeast Airport
2704,DMK,12517747,Don Muang International Airport
2704,BKK,56049647,Suvarnabhumi International Airport
2706,MNL,12515637,Ninoy Aquino International Airport
2713,BJS,12511989,Beijing Capital Airport
2718,WJU,28808960,????
2719,MPK,12514211,????
2725,USN,12514234,????
2727,TAO,12512130,Liuting Airport
2730,TSA,12517954,?????
2730,TPE,2306254,????????
2731,HGH,12512090,Jianoiao Airport
2732,WUH,12512230,Wuchang Nanhu Airport
2737,TAK,12513998,????
2738,HIW,12513957,??????
2740,CYI,12517927,?????
2740,PIF,12517951,?????
2740,TXG,12517956,?????
2740,TNN,12517957,?????
2756,URC,12523254,Diwopu Airport
2781,CXB,12510888,Coxs Bazar Airport
2784,CGP,12510886,Chittagong Airport
2806,COH,12513570,Cooch Behar Airport
2836,DAC,12510895,Zia International Airport Dhaka
2837,CCU,12513561,Netaji Subhash Chandra Bose International Airport
2858,TGG,12515012,Sultan Mahmud Airport
2860,PEN,12515004,Penang International Airport
2861,BWH,12514991,Butterworth Airport
2875,IPH,12514993,Ipoh Airport
2886,BTU,12514990,Bintulu Airport
2899,SRG,12513449,Achmad Yani Airport
2900,BDO,12513471,Bandara Husein Sastranegara Internasional Airport
2916,HLP,23388289,Halim Perdana Kusuma International Airport
2916,CGK,23388291,Bandara Udara Internasional Soekarno-Hatta
2917,QPG,12517522,Paya Lebar Airport
2917,XSP,12517523,Seletar Airport
2921,MKZ,12515001,Malacca Airport
2979,CTS,12523091,?????
2996,MCE,12520900,Merced Municipal Airport-Macready Field
3003,SGU,12521964,St George Municipal Airport
3004,LSN,12520707,Los Banos Municipal Airport
3006,SRU,12523401,Skypark Airport
3009,WVI,12522355,Watsonville Municipal Airport
3012,FAT,12519826,Fresno Yosemite International Airport
3013,FMN,12519792,Four Corners Regional Airport
3016,MRY,12521001,Monterey Peninsula Airport
3020,VIS,12522291,Visalia Municipal Airport
3022,CRO,12519317,Corcoran Airport
3026,LAM,12520705,Los Alamos Airport
3029,BGD,12520270,Hutchinson County Airport
3033,BFL,12520881,Kern County-Meadows Field Airport
3035,ABQ,12518564,Albuquerque International Airport
3041,SMX,12521743,Santa Maria Public Airport
3044,PMD,12521290,La/palmdale Regional Airport
3045,LPC,12520691,Lompoc Airport
3050,SBA,12521741,Santa Barbara Municipal Airport
3052,OXR,12521271,Oxnard Airport
3059,PSP,12521289,Palm Springs International Airport
3062,GEU,12519913,Glendale Municipal Airport
3062,LUF,12520723,Luke Air Force Base
3062,DVT,12521366,Phoenix Deer Valley Municipal Airport
3062,PHX,12521872,Sky Harbor International Airport
3072,BWC,12518921,Brawley Municipal Airport
3074,IPL,12520284,Imperial County Airport
3078,CXL,12519010,Calexico International Airport
3081,TUS,12522214,Tucson International Airport
3086,ELP,12519608,El Paso International Airport
3106,GYM,12514881,General Jose Maria Yanez in Airport
3112,LOV,12514922,Monclova Airport
3118,TRC,12514978,Torreon International Airport
3141,PVR,12514911,Lic Gustavo Diaz Ordaz International Airport
3144,ZMM,12514988,Zamora Airport
3151,STS,12521904,Sonoma County Airport
3152,LAS,12520849,Mccarran International Airport
3152,VGT,12521155,North Las Vegas Air Terminal
3155,APA,12519112,Centennial Airport
3155,WBU,12518900,Boulder Municipal Airport
3155,BFK,12518965,Buckley Air National Guard Base
3155,BJC,12520355,Jeffco Airport
3156,MCC,12520869,McClellan Air Force Base
3156,SAC,12521691,Sacramento Executive Airport
3156,MHR,12521692,Mather Airport
3157,IFP,12518972,Laughlin/bullhead Int'l Airport
3158,NIU,12520216,Honolulu International Airport
3159,FBK,12522306,Wainwright Army Air Field
3159,PII,12523300,Phillips Field Airport
3161,ANC,12518613,Anchorage International Airport
3167,EDF,12519634,Elmendorf Air Force Base
3167,MRI,12520909,Merrill Field Airport
3175,YPF,12524194,Esquimalt Airport
3178,BFI,12518877,King County International Airport-Boeing Field
3178,TCM,12520868,McChord Air Force Base
3178,SEA,12522066,Tacoma International Airport
3185,SLE,12520877,Mcnary Field Airport
3190,YVR,12511894,Vancouver International Airport
3192,HIO,12521452,Portland Hillsboro Airport
3192,PDX,12521453,Portland International Airport
3192,TTD,12521456,Portland Troutdale Airport
3202,ABZ,22450858,Aberdeen Dyce International Airport
3207,PSL,12524000,Perth Airport
3210,EDI,22463734,Edinburgh International Airport
3215,GLA,22482705,Glasgow International Airport
3221,PIK,22484413,Glasgow Prestwick International Airport
3226,BHD,23387943,George Best Belfast City Airport
3234,BLK,22454971,Blackpool Airport
3262,GLO,12518156,Gloucestershire Airport
3310,BUT,12523977,Burtonwood Airport
3310,MAN,22478032,Manchester International Airport
3312,DUB,23388266,Dublin Airport
3331,YYT,12511848,St John's International Airport
3343,BJI,12518794,Bemidji-Beltrami County Airport
3347,DLH,12519545,Duluth International Airport
3351,NGO,28298951,??????
3403,TOY,12514030,????
3437,IZO,12513969,????
3441,TTJ,12514029,????
3463,GAJ,12514035,????
3464,SDJ,12514015,????
3470,HND,23388311,??????
3479,CLD,12520851,Mcclellan Palomar Airport
3479,NKX,12520969,Miramar Naval Air Station
3479,TIJ,12514874,General Abelardo L Rodriguez International Airport
3479,SEE,12519901,Gillespie Field Airport
3479,NZY,12521154,North Island Naval Air Station-Halsey Field
3481,BUR,12518974,Burbank Glendale Pasadena Airport
3481,CCB,12519000,Cable Airport
3481,CNO,12519185,Chino Airport
3481,CPM,12519300,Compton Airport
3481,AJO,12519321,Corona Municipal Airport
3481,EMT,12519607,El Monte Airport
3481,RIR,12519737,Flabob Airport
3481,SNA,12520383,John Wayne Airport
3481,LGB,12520696,Long Beach Daugherty Field Airport
3481,SLI,12520704,Los Alamitos Army Air Field
3481,LAX,12520706,Los Angeles International Airport
3481,SBD,12521168,San Bernardino International Airport
3481,ONT,12521228,Ontario International Airport
3481,RAL,12521602,Riverside Municipal Airport
3481,SMO,12521744,Santa Monica Municipal Airport
3481,VNY,12522268,Van Nuys Airport
3481,WHP,12522426,Whiteman Airport
3481,JWC,12523147,Warner Center Business Plaza Heliport
3481,SBT,12523215,San Bernardino County Heliport
3481,JID,12523312,City of Industry Heliport
3481,JRD,12523325,Riverside Heliport
3481,JLB,12523379,Long Beach Heliport
3481,JOC,12523381,Santa Ana Centerport Heliport
3481,SFR,12523400,San Fernando Airport
3481,CCD,12523425,Century City Airport
3481,JCX,12523426,Citicorp Plaza Heliport
3481,JIO,12523434,Ontario International Heliport
3481,CVR,12524627,Hughes-Culver City Airport
3485,ITM,12514009,??????
3486,NKM,23388304,??????
3489,PAE,12521896,Snohomish County Airport-Paine Field
3517,PRM,12523961,Portimao Airport
3531,UTL,12523968,Aeropuerto de Torremolinos
3531,AGP,23232917,Aeropuerto de Málaga
3538,TTU,12514792,Sania Ramel Airport
3541,MLN,12517556,Aeropuerto de Melilla
3541,NDR,24554857,Nador Airport
3569,RBA,12514791,Sale Airport
3599,ERH,12514786,Er Rachidia Airport
3604,OZZ,12514789,Ouarzazate Airport
3608,AGA,12523043,Almassira Airport
3633,ZIG,12517511,Ziguinchor Airport
3634,OUA,12522555,Ouagadougou Airport
3638,BOY,12522554,Bobo Dioulasso Airport
3646,JMY,12523368,Mammy Yoko Heliport
3650,BYK,12513871,Bouake Airport
3673,ABJ,12513870,Abidjan Port Bouet Airport
3681,SVQ,12517571,Aeropuerto de Sevilla
3688,CKY,12513342,Conakry Airport
3689,CAS,12514780,Anfa Airport
3689,CMN,12514788,Mohamed V Airport
3696,RCH,12512362,Almirante Padilla Airport
3697,CZE,12522796,Jose Leonardo Chirinos Airport
3702,BAQ,12512376,Ernesto Cortissoz Airport
3707,CCS,12522849,Simon Bolivar International Airport
3711,PBL,12522759,Bartolome Salom Airport
