urbanarea_id,iata_code,gps_code,airport_name
7,GIB,LXGB,Gibraltar
19,BCN,LEBL,Barcelona
64,IKT,UIII,Irkutsk S.E.
64,UIIR,UIIR,Irkutsk N.W.
196,ALA,UAAA,Almaty Int'l
196,BXJ,UAAR,Alma Ata N.W.
257,TAS,UTTT,Tashkent Int'l
363,KHG,ZWSH,Kashi
415,ASB,UTAA,Ashkhabad Northwest
487,TSN,ZBTJ,Tianjin Binhai Int'l
489,DLC,ZYTL,Dalian Zhoushuizi Int'l
493,DXB,OMDB,Dubai Int'l
495,JED,OEJN,King Abdul Aziz Int'l
606,,OPQS,Dhamial
606,ISB,OPRN,Benazir Bhutto Int'l
692,IXJ,VIJU,Jammu
834,EVN,UDYZ,Zvartnots Int'l
845,KSH,OICC,Shahid Ashrafi Esfahani
847,PEW,OPPS,Bacha Khan Int'l
851,SDA,ORBI,Baghdad Int'l
862,MHD,OIMM,Mashhad
879,NIM,DRRN,Niamey
887,NDJ,FTTJ,Ndjamena
889,KAN,DNKN,Kano Mallam Aminu Int'l
891,MIU,DNMA,Maiduguri Int'l
963,LPB,SLLP,El Alto Int'l
966,SRE,SLSU,Juana Azurduy de Padilla Int'l
987,TUC,SANT,Teniente Gen. Benjamin Matienzo Int'l
1015,COR,SACO,Ingeniero Ambrosio L.V. Taravella Int'l
1030,MDZ,SAME,El Plumerillo
1051,YZF,CYZF,Yellowknife
1059,MDG,ZYMD,Mudanjiang Hailang
1464,CJJ,RKTU,Cheongju Int'l
1512,YXD,CYXD,Edmonton City Centre
1522,YKA,CYKA,Kamloops
1523,YQR,CYQR,Regina
1526,YYC,CYYC,Calgary Int'l
1648,KWJ,RKJJ,Gwangju
1753,CGO,ZHCC,Zhengzhou Xinzheng Int'l
1973,NKG,ZSNJ,Nanjing Lukou Int'l
2010,BIL,KBIL,Logan Int'l
2039,SLC,KSLC,Salt Lake City Int'l
2087,CTU,ZUUU,Chengdushuang Liu
2136,NGB,ZSNB,Ningbo Lishe Int'l
2271,FOC,ZSFZ,Fuzhou Changle Int'l
2301,KMG,ZPPP,Kunming Wujiaba Int'l
2437,CNX,VTCC,Chiang Mai Int'l
2447,VTE,VLVT,Vientiane
2458,RGN,VYYY,Mingaladon
2482,DAD,VVDN,Da Nang
2490,CRK,RPLC,Clark Int'l
2509,DEN,KDEN,Denver Int'l
2514,RNO,KRNO,Reno-Tahoe Int'l
2541,SFO,KSFO,San Francisco Int'l
2541,SJC,KSJC,San Jose Int'l
2541,OAK,KOAK,Oakland Int'l
2594,SGN,VVTS,Tan Son Nhat
2614,ZAM,RPMZ,Zamboanga Int'l
2616,DVO,RPMD,Francisco Bangoy Int'l
2629,ICN,RKSI,Incheon Int'l
2631,GMP,RKSS,Gimpo Int'l
2643,TYN,ZBYN,Taiyuan Wusu Int'l
2650,TAE,RKTN,Daegu Int'l
2659,PUS,RKPK,Kimhae Int'l
2665,FUK,RJFF,Fukuoka
2674,SHA,ZSSS,Hongqiao
2683,CAN,ZGGG,Guangzhou Baiyun Int'l
2683,SZX,ZGSZ,Shenzhen Bao'an Int'l
2701,UTP,VTBU,Rayong
2704,DMK,VTBD,Don Muang Int'l
2706,MNL,RPLL,Ninoy Aquino Int'l
2713,PEK,ZBAA,Beijing Capital
2725,USN,RKPU,Ulsan
2727,TAO,ZSQD,Qingdao Liuting Int'l
2730,TPE,RCTP,Taoyuan
2731,HGH,ZSHC,Hangzhou Xiaoshan Int'l
2732,,,Wang-Chia Tun Airbase
2738,HIW,RJBH,Hiroshima-Nishi
2740,TNN,RCNN,Tainan
2740,RMQ,RCMQ,Taichung
2740,KHH,RCKH,Kaohsiung Int'l
2742,XMN,ZSAM,Xiamen Gaoqi Int'l
2756,URC,ZWWW,Urumqi Diwopu Int'l
2784,CGP,VGEG,Chittagong
2797,KTM,VNKT,Tribhuvan Int'l
2836,DAC,VGHS,Zia Int'l Dhaka
2837,CCU,VECC,Netaji Subhash Chandra Bose Int'l
2853,IXW,VEJS,Sonari
2899,SRG,WARS,Achmad Yani
2900,BDO,WICC,Husein Sastranegara Int'l
2907,POM,AYPY,Port Moresby Int'l
2916,CGK,WIII,Soekarno-Hatta Int'l
2917,SIN,WSSS,Singapore Changi
2967,OKD,RJCO,Okadama
3012,FAT,KFAT,Fresno Yosemite Int'l
3035,ABQ,KABQ,Albuquerque Int'l
3050,SBA,KSBA,Santa Barbara Muni.
3062,PHX,KPHX,Sky Harbor Int'l
3074,IPL,KIPL,Imperial Cty.
3086,ELP,KELP,El Paso Int'l
3106,GYM,MMGM,Gen. Jose M. Yanez Int'l
3112,LOV,MMMV,Venustiano Carranza Int'l
3118,TRC,MMTC,Torreon Int'l
3152,LAS,KLAS,Mccarran Int'l
3158,HNL,PHNL,Honolulu Int'l
3161,ANC,PALH,Anchorage Int'l
3162,YXY,CYXY,Whitehorse Int'l
3178,SEA,KSEA,Tacoma Int'l
3185,SLE,KSLE,McNary Field
3190,YVR,CYVR,Vancouver Int'l
3192,PDX,KPDX,Portland Int'l
3210,EDI,EGPH,Edinburgh Int'l
3215,GLA,EGPF,Glasgow Int'l
3221,PIK,EGPK,Glasgow Prestwick
3310,LPL,EGGP,Liverpool John Lennon
3310,MAN,EGCC,Manchester Int'l
3312,DUB,EIDW,Dublin
3331,YYT,CYYT,St John's Int'l
3340,YQT,CYQT,Thunder Bay Int'l
3351,NGO,RJGG,Chubu Centrair Int'l
3464,SDJ,RJSS,Sendai
3470,NRT,RJAA,Narita Int'l
3479,SAN,KSAN,San Diego Int'l
3479,TIJ,MMTJ,General Abelardo L Rodriguez Int'l
3481,ONT,KONT,Ontario Int'l
3481,SNA,KSNA,John Wayne
3481,LAX,KLAX,Los Angeles Int'l
3484,KIX,RJBB,Kansai Int'l
3485,ITM,RJOO,Osaka Int'l
3486,NKM,RJNA,Nagoya
3600,RAK,GMMX,Marrakech-Menara
3614,NDB,GQPP,Nouadhibou Int'l
3615,NKC,GQNN,Nouakchott Int'l
3619,DKR,GOOY,Leopold Sedar Senghor Int'l
3634,OUA,DFFD,Ouagadougou
3650,BYK,DIBK,Bouake
3657,KMS,DGSI,Kumasi
3673,ABJ,DIAP,Abidjan Port Bouet
3688,CKY,GUCY,Conakry
3689,CAS,GMMC,Casablanca-Anfa
3689,CMN,GMMN,Mohamed V Int'l
3702,BAQ,SKBQ,Ernesto Cortissoz Int'l
3707,CCS,SVMI,Simon Bolivar Int'l
3722,VLN,SVVA,Zim Valencia
3727,BRM,SVBM,Jacinto Lara Int'l
3774,BOG,SKBO,Eldorado Int'l
3781,SDF,KSDF,Louisville Int'l
3796,RIC,KRIC,Richmond Int'l
3826,BNA,KBNA,Nashville Int'l
3835,GSO,KGSO,Triad Int'l
3841,RDU,KRDU,Durham Int'l
3847,TYS,KTYS,Mcghee Tyson
3907,ILM,KILM,Wilmington Int'l
3916,CAE,KCAE,Columbia Metro
3917,ATL,KATL,Hartsfield-Jackson Atlanta Int'l
3927,BHM,KBHM,Birmingham Int'l
3947,CHS,KCHS,Charleston Int'l
3967,SAV,KSAV,Savannah Int'l
4023,TPA,KTPA,Tampa Int'l
4039,FPO,MYGF,Freeport Int'l
4047,STI,MDST,Cibao Int'l
4050,CTM,MMCM,Chetumal Int'l
4055,SJU,TJSJ,Luis Munoz Marin
4063,SKB,TKPK,Robert L. Bradshaw Int'l
4070,TGU,MHTG,Toncontin Int'l
4074,ORF,KORF,Norfolk Int'l
4075,CLT,KCLT,Douglas Int'l
4076,JAX,KJAX,Jacksonville Int'l
4077,MCO,KMCO,Orlando Int'l
4082,PBI,KPBI,Palm Beach Int'l
4082,FLL,KFLL,Fort Lauderdale Hollywood Int'l
4082,MIA,KMIA,Miami Int'l
4119,MEM,KMEM,Memphis Int'l
4125,LIT,KLIT,Little Rock National
4159,SHV,KSHV,Shreveport Reg.
4203,BTR,KBTR,Baton Rouge Metro
4226,MSY,KMSY,New Orleans Int'l
4234,GLS,KGLS,Scholes Int'l
4256,BRO,KBRO,Brownsville-South Padre Island Int'l
4260,TAM,MMTM,Gen Francisco J Mina Int'l
4274,TLC,MMTO,Jose Maria Morelos Y Pavon
4297,GUA,MGGT,La Aurora
4303,TUL,KTUL,Tulsa Int'l
4304,DAL,KDAL,Dallas Love Field
4304,FTW,KFTW,Fort Worth Meacham Field
4304,DFW,KDFW,Dallas-Ft. Worth Int'l
4305,JAN,KJAN,Jackson Int'l
4306,IAH,KIAH,George Bush Intercontinental
4307,SAT,KSAT,San Antonio Int'l
4308,MEX,MMMX,Lic Benito Juarez Int'l
4479,BIO,LEBB,Bilbao
4486,MAD,LEMD,Madrid Barajas
4496,OPO,LPPR,Francisco Sa Carneiro
4497,LIS,LPPT,Lisbon Portela
4497,XXC,LPCS,Cascais
4582,ROC,KROC,Greater Rochester Int'l
4590,BUF,KBUF,Greater Buffalo Int'l
4593,SYR,KSYR,Syracuse Hancock Int'l
4614,ALB,KALB,Albany Int'l
4730,CMH,KCMH,Port Columbus Int'l
4739,IND,KIND,Indianapolis Int'l
4746,DAY,KDAY,James M. Cox Dayton Int'l
4788,BTV,KBTV,Burlington Int'l
4789,MHT,KMHT,Manchester-Boston Reg.
4791,CLE,KCLE,Hopkins Int'l
