derived_from,aerotropolis_woe_id,airports,urbanarea_ne_gid,aerotropolis_name
woe,35524231,SUM,3922,SUM
woe,35524235,MYR,3923,MYR
woe,35524237,PEG,9074,PEG
woe,35524239,AHN,3921,AHN
ne,35523291,"JAD,PER",11829,PER
ne,35523293,BHM,3927,BHM
woe,35524241,SPU,9070,SPU
woe,35524243,PSR,9077,PSR
ne,35523295,MEL,11825,MEL
ne,35523299,"RSE,SWZ,SYD,ZDN",11824,SYD
woe,35524847,SIA,1761,SIA
ne,35523301,MRU,10290,MRU
woe,35524247,GIF,4026,GIF
woe,35524249,EDL,11540,EDL
woe,35525379,OZZ,3604,OZZ
ne,35523303,"CLW,PIE,SPG,TPA",4023,TPA
ne,35523305,MHT,4789,MHT
ne,35523307,BTV,4788,BTV
woe,35524253,YRO,4787,YRO
woe,35524851,PBL,3711,PBL
ne,35523309,SYZ,10511,SYZ
ne,35523289,YUL,4783,YUL
woe,35524257,YHU,4782,YHU
woe,35524259,VRB,4029,VRB
ne,35523311,KBP,7306,KBP
woe,35524853,CUM,3713,CUM
ne,35523313,"GVA,QNJ",8091,GVA-QNJ
ne,35523317,JMU,11859,JMU
ne,35523319,ARN,7514,ARN
woe,35524261,HKY,3850,HKY
woe,35524245,RUN,10294,RUN
woe,35524265,HRT,3997,HRT
woe,35524267,"NDP,PNS",3996,NDP-PNS
woe,35525091,BLA,3723,BLA
woe,35524271,PGV,3858,PGV
woe,35524273,CBB,964,CBB
ne,35523727,"MUC,MUCf",9471,MUC-MUCf
woe,35525413,DSN,1202,DSN
ne,35523323,"CGK,HLP",2916,CGK
ne,35523325,"QPG,SIN,XSP",2917,SIN
ne,35523327,IXW,2853,IXW
woe,35525303,BPS,4968,BPS
ne,35523329,"CAS,CMN",3689,CAS-CMN
woe,35524857,ERD,9477,ERD
woe,35524277,PIU,5461,PIU
ne,35523331,YYT,3331,YYT
ne,35523335,SGC,6355,SGC
woe,35524385,SMD,4814,SMD
woe,35524279,CIX,5464,CIX
woe,35524281,PCL,5469,PCL
woe,35525099,APQ,4934,APQ
woe,35524455,ABZ,3202,ABZ
woe,35524285,JHE,6723,JHE
ne,35523337,"CMH,OSU",4730,CMH
ne,35523339,MPM,10195,MPM
woe,35524291,RRK,10963,RRK
ne,35523341,RAJ,10961,RAJ
woe,35524293,MMY,2319,MMY
woe,35525405,LGV,4366,LGV
woe,35524295,VVK,6655,VVK
ne,35523343,"HFY,IND,UMP",4739,IND
woe,35524297,GSE,6653,GSE
woe,35525103,SVQ,3681,SVQ
woe,35524301,AZN,290,AZN
woe,35525185,THN,6636,THN
woe,35525105,ATY,4832,ATY
woe,35524303,SOM,3776,SOM
woe,35524307,RJK,8235,RJK
ne,35523345,"BOG,LAT",3774,BOG
woe,35524309,BIQ,4320,BIQ
woe,35524311,HTW,3779,HTW
ne,35523347,"ALA,BXJ",196,ALA-BXJ
woe,35524313,SDR,4326,SDR
woe,35524315,SBN,4655,SBN
woe,35524317,PVR,3141,PVR
woe,35524319,EKI,4656,EKI
woe,35524321,ZMM,3144,ZMM
ne,35523349,ABJ,3673,ABJ
ne,35523353,RTW,6388,RTW
woe,35524329,CCR,2543,CCR
ne,35523355,"HWD,JCE,NGZ,NUQ,OAK,PAO,SFO,SJC,SQL",2541,OAK-SFO-SJC
woe,35524255,YCV,4784,YCV
woe,35524333,JSG,2545,JSG
woe,35524335,LAM,3026,LAM
ne,35523357,DRW,11687,DRW
woe,35524337,SCK,2548,SCK
ne,35523359,THR,11680,THR
woe,35524343,VIS,3020,VIS
ne,35523361,LIL,7889,LIL
woe,35524345,EBD,11440,EBD
woe,35524347,GOS,11762,GOS
ne,35523363,"CGN,DUS,LGG,MGL",7880,CGN-DUS
ne,35523365,"BQH,HEN,LHR,RCS,XET",7882,LHR
woe,35524349,OKA,2266,OKA
woe,35524351,EIN,7884,EIN
ne,35523367,"ANR,BRU",7886,ANR-BRU
woe,35524875,IMP,4909,IMP
woe,35524353,LFT,4217,LFT
woe,35524355,CWF,4216,CWF
woe,35524357,CXO,4211,CXO
ne,35523371,VTE,2447,VTE
woe,35524361,BVE,9258,BVE
woe,35524363,PLU,5004,PLU
woe,35525143,CPG,5388,CPG
woe,35524365,CDF,8049,CDF
woe,35524367,TLE,10338,TLE
woe,35524369,HLR,4193,HLR
ne,35523373,LOS,9847,LOS
woe,35524371,RNS,7862,RNS
woe,35524373,TRS,8129,TRS
ne,35523375,ESB,8695,ESB
woe,35525321,WRB,3954,WRB
woe,35524375,PME,7905,PME
ne,35523377,NCL,7868,NCL
ne,35523379,"BDL,BDR,BNH,CEF,EHT,HFD,HVN",4813,BDL
ne,35523381,"BBF,BED,BOS,BVY,JBC,PVD",4812,BOS-PVD
ne,35523383,"CHI,GYY,JOT,LOT,MDW,ORD,PWK,UGN",4810,GYY-MDW-ORD
woe,35524383,HPN,4816,HPN
ne,35523385,"ARX,BLM,CDW,EWR,TEB",4815,EWR
ne,35523389,LTN,7701,LTN
ne,35523391,"CVG,HAO",4819,CVG
ne,35523393,"AYZ,BPA,DPK,ISP,JFK,LGA",4818,JFK-LGA
woe,35524387,JCJ,1845,JCJ
woe,35524389,SFA,8939,SFA
woe,35524391,ARS,4959,ARS
woe,35524393,KSC,9416,KSC
ne,35523743,"MAO,PLL",4900,MAO
woe,35524397,SFF,1539,SFF
ne,35523397,CGB,4955,CGB
ne,35523399,DVO,2616,DVO
woe,35524403,ERS,10143,ERS
ne,35523401,ZAM,2614,ZAM
woe,35524407,BWG,3808,BWG
ne,35524009,IXC,10411,IXC
woe,35524613,HQU,3935,HQU
ne,35523407,ZRH,9738,ZRH
woe,35524415,ROA,3800,ROA
woe,35524417,PLK,4101,PLK
woe,35524681,YWF,4541,YWF
ne,35523409,MGQ,11346,MGQ
woe,35524419,CRA,8348,CRA
woe,35524421,SWO,4105,SWO
woe,35524423,ASG,4104,ASG
ne,35523411,BJM,10029,BJM
woe,35524427,JBR,4109,JBR
woe,35524429,BAE,8341,BAE
woe,35524433,QDV,5134,QDV
ne,35523413,HGH,2731,HGH
woe,35525247,BAV,1151,BAV
woe,35524915,NKT,3885,NKT
woe,35524689,BSH,7785,BSH
ne,35523415,"BGW,SDA",851,SDA
woe,35524691,TBS,249,TBS
woe,35524439,PRM,3517,PRM
ne,35523417,LFW,9938,LFW
woe,35524441,SWA,2685,SWA
woe,35524923,THK,2463,THK
ne,35523419,BRE,7556,BRE
ne,35523421,HAM,7555,HAM
ne,35523425,"CAN,SZX",2683,CAN-SZX
woe,35525339,GAE,8956,GAE
woe,35524443,GWT,6806,GWT
ne,35523427,HIW,2738,HIW
woe,35524263,VPS,3998,VPS
woe,35525125,GSB,3866,GSB
woe,35524445,ANP,4774,ANP
woe,35524907,"BZR,MPL",8,BZR-MPL
ne,35523429,NYO,6618,NYO
woe,35524447,PSL,3207,PSL
woe,35524451,PTO,5183,PTO
woe,35524453,CXJ,5229,CXJ
woe,35524283,MLB,4078,MLB
ne,35523431,CLT,4075,CLT
ne,35523433,"NGU,ORF",4074,ORF
ne,35523435,"DWS,MCO,ORL",4077,MCO
ne,35523437,"CRG,JAX,NIP",4076,JAX
ne,35523439,TGU,4070,TGU
woe,35524457,VEJ,6755,VEJ
ne,35523443,"SAV,SVN",3967,SAV
woe,35524459,MXF,3964,MXF
woe,35524461,MEI,3965,MEI
woe,35524463,TRF,7519,TRF
woe,35524951,PIV,4974,PIV
ne,35523445,TUN,8836,TUN
ne,35524105,GUA,4297,GUA
woe,35524469,CKF,3969,CKF
woe,35524471,PEN,2860,PEN
woe,35524473,BWH,2861,BWH
woe,35524475,BOY,3638,BOY
woe,35524477,JEF,4889,JEF
ne,35523449,OUA,3634,OUA
woe,35524479,ZIG,3633,ZIG
woe,35524481,LAN,4619,LAN
ne,35523451,"DVT,GEU,LUF,PHX",3062,PHX
woe,35524275,MYJ,1798,MYJ
woe,35524483,CBG,7676,CBG
woe,35524487,AYH,7674,AYH
woe,35524489,ASH,4615,ASH
ne,35523471,"ALB,SCH,ZLY",4614,ALB
ne,35523455,SGN,2594,SGN
ne,35523457,HRG,11407,HRG
ne,35523461,YZF,1051,YZF
ne,35523463,BEL,5354,BEL
woe,35524495,CAW,5063,CAW
ne,35523465,BVB,5350,BVB
ne,35523467,MDG,1059,MDG
ne,35523469,YQT,3340,YQT
woe,35524505,UBT,5149,UBT
woe,35524507,DLH,3347,DLH
ne,35523453,DRS,7178,DRS
woe,35524509,CGO,1696,CGO
woe,35524837,UVL,11417,UVL
woe,35525137,SSX,8568,SSX
ne,35523473,CGO,1753,CGO
woe,35524491,LOH,5458,LOH
ne,35523769,MNL,2706,MNL
woe,35524493,JGN,1198,JGN
woe,35524515,QPA,9111,QPA
ne,35523771,UTP,2701,UTP
ne,35523481,TRN,9113,TRN
woe,35524519,OHT,616,OHT
woe,35524523,BLQ,9117,BLQ
ne,35523483,BRO,4256,BRO
ne,35523485,LIM,5537,LIM
woe,35524749,LUG,9044,LUG
ne,35523487,BAQ,3702,BAQ
woe,35524525,NVA,5539,NVA
ne,35523489,SCL,5538,SCL
woe,35524527,AHZ,8246,AHZ
ne,35523491,CCS,3707,CCS
ne,35523493,TRC,3118,TRC
woe,35524531,CPV,4917,CPV
ne,35523497,JPA,4914,JPA
woe,35524497,TUU,11400,TUU
ne,35523685,CTU,2087,CTU
ne,35523501,NAT,4910,NAT
woe,35524541,QIG,4911,QIG
woe,35524543,GLT,11711,GLT
woe,35524545,BDB,11715,BDB
woe,35524499,BJI,3343,BJI
woe,35524549,MTJ,2533,MTJ
woe,35524501,SNC,5452,SNC
ne,35523503,SKG,8640,SKG
ne,35523505,LAD,10062,LAD
ne,35523507,"BJS,PEK",2713,PEK
ne,35523509,PUS,2659,PUS
woe,35524553,PNG,5177,PNG
woe,35524555,AGT,5176,AGT
woe,35524559,WJU,2718,WJU
ne,35523511,TAE,2650,TAE
woe,35524563,CCF,9209,CCF
woe,35524565,CUE,5455,CUE
ne,35523515,DIR,11309,DIR
woe,35524569,AER,7955,AER
woe,35524571,EBU,9168,EBU
woe,35524573,UCK,7229,UCK
ne,35523517,JED,495,JED
ne,35523519,"BCS,MSY,NBG,NEW",4226,MSY
ne,35523521,BND,10692,BND
ne,35523523,TIP,8988,TIP
ne,35523525,DXB,493,DXB
ne,35523527,BMA,6573,BMA
woe,35524583,UCT,5585,UCT
ne,35523529,"CPH,ZGH",7599,CPH
ne,35523955,SLE,3185,SLE
woe,35524587,VGO,4383,VGO
woe,35524589,AAL,7596,AAL
ne,35523535,RIC,3796,RIC
ne,35523537,LED,7593,LED
woe,35525145,CYS,2035,CYS
woe,35524641,GRV,820,GRV
woe,35524591,OWB,3792,OWB
woe,35525355,MKZ,2921,MKZ
woe,35524595,SKZ,10667,SKZ
woe,35524597,POJ,4985,POJ
woe,35524599,QAR,7691,QAR
