airport_woe_id,airport_ne_gid,airport_county_woe_id,airport_icao_code,airport_ne_name,airport_woe_latitude,airport_woe_bbox,airport_ne_type,airport_country_woe_id,airport_woe_longitude,airport_ne_latitude,airport_iata_code,urbanarea_ne_gid,airport_ne_longitude,aerotropolis_woe_id,airport_woe_name,airport_iso,airport_state_woe_id
12511638,777,29375198,CYUL,Montreal-Trudeau,45.463215,"45.44492,-73.76667,45.487064,-73.726585",major,23424775,-73.744442,,YUL,4783,,35523289,Aéroport International Pierre-Elliott-Trudeau de Montreal,CA,2344924
12517536,,12602095,,,36.84022,"36.825069,-2.406692,36.849407,-2.364292",,23424950,-2.380448,,,2,,,Aeropuerto de Almería,ES,12578029
12513027,108,,LXGB,Gibraltar,36.150135,"36.145824,-5.348281,36.152966,-5.343217",mid,23424825,-5.34586,,GIB,7,,35523595,Gibraltar Airport,GI,
56051882,,12597193,,,43.856861,"43.848122,4.40549,43.85878,4.42224",,23424819,4.4059,,,8,,35524907,Aérodrome de Nîmes-courbessac,FR,7153320
12512897,,12597179,,,43.58331,"43.573734,3.93117,43.597439,3.962062",,23424819,3.94656,,MPL,8,,35524907,Aéroport de Montpellier-Mediterranee,FR,7153320
12512899,,12597193,,,43.763062,"43.743301,4.40465,43.774391,4.42602",,23424819,4.42194,,,8,,35524907,Aéroport International de Nîmes-Arles-Camargue,FR,7153320
12512985,,12597179,,,43.320332,"43.31937,3.34045,43.32539,3.36672",,23424819,3.35339,,BZR,8,,35524907,Aéroport Béziers-Vias,FR,7153320
56051860,,12597179,,,43.50388,"43.500839,3.40648,43.507431,3.41821",,23424819,3.41031,,,8,,35524907,Aérodrome de Pézenas-nizas,FR,7153320
56051863,,12597179,,,43.61021,"43.605991,4.06576,43.614429,4.07577",,23424819,4.07076,,,8,,35524907,Aérodr de Montpellier-candillargues,FR,7153320
12512957,,12597201,,,42.72374,"42.721535,2.876701,42.726711,2.888073",,23424819,2.884827,,PGF,11,,35524771,Aéroport International Perpignan-Rivesaltes,FR,7153320
12517564,,12602127,,,41.146071,"41.144276,1.147577,41.147762,1.159572",,23424950,1.154184,,,19,,35523661,Aeropuerto de Reus,ES,12578034
22411879,827,12602124,LEBL,Barcelona,41.294939,"41.274918,2.0541,41.314381,2.112464",major,23424950,2.080759,,BCN,19,,35523661,Aeropuerto de Barcelona,ES,12578034
22656494,,12602124,,,41.520962,"41.514702,2.09844,41.527271,2.1119",,23424950,2.09995,,,19,,35523661,Aeropuerto dé Sabadell,ES,12578034
56049667,,12602124,,,41.77887,"41.772442,1.88141,41.785301,1.89865",,23424950,1.89003,,,19,,35523661,Aeroclub Del Bages,ES,12578034
12523144,,12589342,KJRB,,40.703869,"40.699322,-74.01886,40.70842,-74.006859",,23424977,-74.012863,,JRB,22,,35524585,Downtown Manhattan Heliport,US,2347591
12523185,,12589342,,,40.744888,"40.740341,-73.984627,40.749439,-73.972633",,23424977,-73.97863,,,22,,35524585,New York Skysports Inc. Seaplane Base,US,2347591
12523347,,12589342,,,40.701561,"40.69701,-74.021957,40.706108,-74.009956",,23424977,-74.015961,,,22,,35524585,Battery Park-North Cove Seaplane Base,US,2347591
12523248,,12589342,,,40.747391,"40.74284,-73.997192,40.751942,-73.985191",,23424977,-73.991188,,TSS,22,,35524585,East 34th Street Heliport,US,2347591
12523319,,12589342,,,40.799999,"40.795448,-73.972702,40.80455,-73.960701",,23424977,-73.966698,,,22,,35524585,East 60th Street Heliport,US,2347591
12515766,,12598288,,,56.785,"56.780449,105.786301,56.789551,105.802902",,23424936,105.794601,,,35,,,Balakhnya Airport,RU,2346896
12515924,,12598261,,,56.0863,"56.081749,99.398354,56.090851,99.41465",,23424936,99.406502,,,44,,,Chuna Airport,RU,2346896
12516989,,12598281,,,55.912701,"55.90815,97.982193,55.917252,97.998413",,23424936,97.990303,,,47,,,Tayshet South Airport,RU,2346896
12516510,,12598272,,,54.894501,"54.88995,99.0625,54.899052,99.0783",,23424936,99.070396,,,51,,,Nizhneudinsk Airport,RU,2346896
12516044,321,12598264,UIII,Irkutsk S.E.,52.260399,"52.255852,104.396873,52.26495,104.411728","mid,military",23424936,104.404297,,IKT,64,,35523875,Irkutsk Southeast Airport,RU,2346896
12515915,,12598165,,,52.0205,"52.015949,113.299309,52.025051,113.314087",,23424936,113.306702,,,67,,,Chita-Kadala Airport,RU,2346894
12517072,,12597299,,,51.849899,"51.845348,107.721542,51.85445,107.736259",,23424936,107.728897,,,71,,,Ulan Ude East Airport,RU,2346867
12512220,,26198222,,,49.208801,"49.20425,119.805443,49.213348,119.819359",,23424781,119.812401,,,97,,,Tung Shan Airport,CN,12578009
12516322,,12597654,,,63.894001,"63.88945,122.757767,63.898548,122.778427",,23424936,122.768097,,,102,,,Kyubeyy Airport,RU,2346881
